Nama_Pelanggan,Tanggal_Service,Jenis_Service,Biaya,Nomor_Polisi,Nomor_Rangka_Motor,Model_Motor,Tahun_Kendaraan;;;;;;;;;;;;;
Okto,2024-02-05,Servis Rutin,858000,D 4551 HAL,VF356DD7Q67HHNL8818,Honda CBR 150,2018;;;;;;;;;;;;;https://github.com/AqmalRaditya/Data-Mining
Mila,2023-02-28,Perbaikan Mesin,726000,D 9474 ACE,BL024QY7C48BWPI0976,Honda CBR 150,2019;;;;;;;;;;;;;
Tira,2023-03-06,Servis Rutin,931000,D 6431 BKF,YR152FD2A00XNRS8407,Honda CBR 150,2014;;;;;;;;;;;;;
Okta,2024-05-18,Servis Rutin,414000,D 9996 WIC,FU069VZ9Q86TMCQ6084,Suzuki GSX-R150,2015;;;;;;;;;;;;;
Kardi,2023-02-18,Servis Rutin,87000,D 3962 XZH,OE489VN5P51WSOU3594,Kawasaki Ninja 250,2023;;;;;;;;;;;;;
Halima,2023-12-06,Pemasangan Aksesori,158000,D 8548 PDL,KY882PL7O63CRJU2076,Honda CBR 150,2012;;;;;;;;;;;;;
Manah,2023-10-14,Perbaikan Mesin,230000,D 7005 TWL,IS704ZL9W77NVBM8234,Suzuki GSX-R150,2017;;;;;;;;;;;;;
Taufik,2024-02-18,Servis Rutin,972000,D 7705 AWO,VW870PM2S50ZGHC4783,Suzuki GSX-R150,2019;;;;;;;;;;;;;
Jatmiko,2023-12-29,Perbaikan Mesin,247000,D 9591 ZAW,QN678IF2D66VQPC5163,Suzuki GSX-R150,2021;;;;;;;;;;;;;
Intan,2023-09-17,Pemasangan Aksesori,455000,D 6604 TKZ,ZG153PE4O54OZDQ0750,Suzuki GSX-R150,2020;;;;;;;;;;;;;
Rina,2023-06-29,Servis Rutin,555000,D 8015 GJR,YW482OO4G20YURA3925,Kawasaki Ninja 250,2012;;;;;;;;;;;;;
Garda,2024-02-14,Perbaikan Mesin,630000,D 4119 BXB,JX625CF0C93EADF8765,Honda CBR 150,2010;;;;;;;;;;;;;
Radika,2023-12-05,Servis Rutin,225000,D 0752 JDJ,IL720BA5Q40XDPJ4416,Suzuki GSX-R150,2011;;;;;;;;;;;;;
Darijan,2024-04-04,Servis Rutin,472000,D 7435 KMI,JK442UW5C08YBXB7960,Honda CBR 150,2013;;;;;;;;;;;;;
Purwa,2024-06-12,Pemasangan Aksesori,306000,D 5377 MGP,NH720BS0H14FKJB2670,Suzuki GSX-R150,2022;;;;;;;;;;;;;
Omar,2023-11-17,Ganti Oli,396000,D 0765 XLI,WT122NU7J74UFKR1206,Honda CBR 150,2020;;;;;;;;;;;;;
